cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,clinicsNamed,tier,aiCheckedOn
"Youngstown, OH",OH,4,0,0,0,5,GREEN,2026-09-08
"Aiken, SC",SC,3,0,0,0,5,YELLOW,2026-09-08
"South Bend, IN",IN,3,0,0,0,6,GREEN,2026-09-08
"St. Joseph, MO",MO,3,0,0,1,4,GREEN,2026-09-08
"Bowling Green, KY",KY,3,2,0,0,4,GREEN,2026-09-08
"Burlington, VT",VT,3,0,0,0,4,GREEN,2026-09-08
"Charleston, WV",WV,3,2,1,0,3,YELLOW,2026-09-08
"Corvallis, OR",OR,3,1,0,0,4,GREEN,2026-09-08
"Evansville, IN",IN,3,0,0,0,4,GREEN,2026-09-08
"Hilton Head, SC",SC,3,1,1,0,4,YELLOW,2026-09-08
"Kennewick, WA",WA,3,2,1,0,4,GREEN,2026-09-08
"Kingsport, TN",TN,3,0,0,0,3,YELLOW,2026-09-08
"La Crosse, WI",WI,3,2,0,0,5,GREEN,2026-09-08
"Oshkosh, WI",WI,3,2,1,1,5,GREEN,2026-09-08
"Palm Desert, CA",CA,3,1,0,0,4,GREEN,2026-09-08
"Rapid City, SD",SD,3,0,0,0,5,GREEN,2026-09-08
"Salisbury, MD",MD,3,1,0,0,4,GREEN,2026-09-08
"Scranton, PA",PA,3,1,0,0,6,GREEN,2026-09-08
"Spartanburg, SC",SC,3,0,0,0,3,YELLOW,2026-09-08
"Stillwater, OK",OK,3,0,0,0,4,GREEN,2026-09-08
"Valdosta, GA",GA,3,2,1,0,4,GREEN,2026-09-08
"West Hartford, CT",CT,3,2,1,0,4,GREEN,2026-09-08
"Worcester, MA",MA,3,0,0,1,4,GREEN,2026-09-08
"Findlay, OH",OH,2,2,0,0,4,GREEN,2026-09-08
"Huntsville, AL",AL,2,0,0,0,4,GREEN,2026-09-08
"Lake Charles, LA",LA,2,0,0,0,4,GREEN,2026-09-08
"Las Cruces, NM",NM,2,0,0,0,4,GREEN,2026-09-08
"Rio Rancho, NM",NM,1,0,0,0,4,GREEN,2026-09-08
"Springfield, MA",MA,1,0,0,0,4,GREEN,2026-09-08
"Traverse City, MI",MI,1,0,0,0,4,GREEN,2026-09-08
